timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595801128355,69,create new client,200,OK,Thread Group 1-1,text,true,,162,211,4,4,http://18.224.138.242/client/new/100,69,0,48
1595801128359,65,create new client,200,OK,Thread Group 1-3,text,true,,162,211,4,4,http://18.224.138.242/client/new/100,65,0,41
1595801128429,6,create new client,200,OK,Thread Group 1-5,text,true,,162,211,5,5,http://18.224.138.242/client/new/100,6,0,1
1595801128354,64,create new client,200,OK,Thread Group 1-2,text,true,,162,211,4,4,http://18.224.138.242/client/new/100,62,0,49
1595801128361,58,create new client,200,OK,Thread Group 1-4,text,true,,162,211,4,4,http://18.224.138.242/client/new/100,58,0,43
1595801128485,5,create new transaction,200,OK,Thread Group 1-1,text,true,,177,294,6,6,http://18.224.138.242/transaction,5,0,0
1595801128484,6,create new transaction,200,OK,Thread Group 1-5,text,true,,177,294,6,6,http://18.224.138.242/transaction,6,0,0
1595801128486,24,create new transaction,200,OK,Thread Group 1-3,text,true,,177,294,6,6,http://18.224.138.242/transaction,24,0,0
1595801128485,26,create new transaction,200,OK,Thread Group 1-4,text,true,,177,294,6,6,http://18.224.138.242/transaction,26,0,0
1595801128485,27,create new transaction,200,OK,Thread Group 1-2,text,true,,177,294,6,6,http://18.224.138.242/transaction,27,0,0
1595801128491,32,get balance,200,OK,Thread Group 1-5,text,true,,136,193,6,6,http://18.224.138.242/client/1/balance,32,0,0
1595801128490,35,get balance,200,OK,Thread Group 1-1,text,true,,136,193,5,5,http://18.224.138.242/client/1/balance,34,0,0
1595801128491,35,create new client,200,OK,Thread Group 1-6,text,true,,162,211,4,4,http://18.224.138.242/client/new/100,35,0,2
1595801128526,4,create new transaction,200,OK,Thread Group 1-6,text,true,,177,294,4,4,http://18.224.138.242/transaction,4,0,0
1595801128512,29,get balance,200,OK,Thread Group 1-4,text,true,,136,193,4,4,http://18.224.138.242/client/1/balance,29,0,0
1595801128511,36,get balance,200,OK,Thread Group 1-3,text,true,,136,193,3,3,http://18.224.138.242/client/1/balance,36,0,0
1595801128530,19,get balance,200,OK,Thread Group 1-6,text,true,,136,193,2,2,http://18.224.138.242/client/1/balance,19,0,0
1595801128512,41,get balance,200,OK,Thread Group 1-2,text,true,,136,193,3,3,http://18.224.138.242/client/1/balance,41,0,0
1595801128553,5,create new client,200,OK,Thread Group 1-7,text,true,,162,211,2,2,http://18.224.138.242/client/new/100,5,0,0
1595801128558,3,create new transaction,200,OK,Thread Group 1-7,text,true,,177,294,1,1,http://18.224.138.242/transaction,3,0,0
1595801128561,10,get balance,200,OK,Thread Group 1-7,text,true,,136,193,1,1,http://18.224.138.242/client/1/balance,9,0,0
1595801128598,6,create new client,200,OK,Thread Group 1-8,text,true,,162,211,1,1,http://18.224.138.242/client/new/100,6,0,1
1595801128605,2,create new transaction,200,OK,Thread Group 1-8,text,true,,177,294,1,1,http://18.224.138.242/transaction,2,0,0
1595801128609,9,get balance,200,OK,Thread Group 1-8,text,true,,136,193,1,1,http://18.224.138.242/client/1/balance,9,0,0
1595801128658,6,create new client,200,OK,Thread Group 1-9,text,true,,162,211,1,1,http://18.224.138.242/client/new/100,6,0,1
1595801128664,3,create new transaction,200,OK,Thread Group 1-9,text,true,,177,294,1,1,http://18.224.138.242/transaction,3,0,0
1595801128667,10,get balance,200,OK,Thread Group 1-9,text,true,,136,193,1,1,http://18.224.138.242/client/1/balance,10,0,0
1595801128728,6,create new client,200,OK,Thread Group 1-10,text,true,,162,211,1,1,http://18.224.138.242/client/new/100,6,0,1
1595801128734,3,create new transaction,200,OK,Thread Group 1-10,text,true,,177,294,1,1,http://18.224.138.242/transaction,3,0,0
1595801128738,9,get balance,200,OK,Thread Group 1-10,text,true,,136,193,1,1,http://18.224.138.242/client/1/balance,9,0,0
1595801128778,6,create new client,200,OK,Thread Group 1-11,text,true,,162,211,1,1,http://18.224.138.242/client/new/100,6,0,1
1595801128784,3,create new transaction,200,OK,Thread Group 1-11,text,true,,177,294,1,1,http://18.224.138.242/transaction,3,0,0
1595801128787,10,get balance,200,OK,Thread Group 1-11,text,true,,136,193,1,1,http://18.224.138.242/client/1/balance,10,0,0
1595801128837,7,create new client,200,OK,Thread Group 1-12,text,true,,162,211,1,1,http://18.224.138.242/client/new/100,6,0,2
