timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595802703576,79,create new client,200,,Thread Group 1-6,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,73,0,58
1595802703575,80,create new client,200,,Thread Group 1-7,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,74,0,57
1595802703575,81,create new client,200,,Thread Group 1-5,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,74,0,55
1595802703651,5,create new client,200,,Thread Group 1-11,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,5,0,1
1595802703575,77,create new client,200,,Thread Group 1-3,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,72,0,59
1595802703575,80,create new client,200,,Thread Group 1-8,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,74,0,59
1595802703623,32,create new client,200,,Thread Group 1-10,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,26,0,10
1595802703574,81,create new client,200,,Thread Group 1-1,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,74,0,59
1595802703604,52,create new client,200,,Thread Group 1-9,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,44,0,30
1595802703575,80,create new client,200,,Thread Group 1-2,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,74,0,58
1595802703682,9,create new client,200,,Thread Group 1-12,text,true,,183,207,12,12,http://3.17.24.20/client/new/100,9,0,1
1595802703575,80,create new client,200,,Thread Group 1-4,text,true,,183,207,11,11,http://3.17.24.20/client/new/100,74,0,58
1595802703709,7,create new transaction,200,,Thread Group 1-3,text,true,,198,290,13,13,http://3.17.24.20/transaction,7,0,0
1595802703704,13,create new transaction,200,,Thread Group 1-7,text,true,,198,290,13,13,http://3.17.24.20/transaction,13,0,0
1595802703713,4,create new transaction,200,,Thread Group 1-4,text,true,,198,290,13,13,http://3.17.24.20/transaction,4,0,0
1595802703704,14,create new transaction,200,,Thread Group 1-5,text,true,,198,290,13,13,http://3.17.24.20/transaction,14,0,0
1595802703709,10,create new transaction,200,,Thread Group 1-10,text,true,,198,290,13,13,http://3.17.24.20/transaction,10,0,0
1595802703709,11,create new transaction,200,,Thread Group 1-1,text,true,,198,290,13,13,http://3.17.24.20/transaction,11,0,0
1595802703714,6,create new transaction,200,,Thread Group 1-12,text,true,,198,290,13,13,http://3.17.24.20/transaction,6,0,0
1595802703715,6,create new transaction,200,,Thread Group 1-9,text,true,,198,290,13,13,http://3.17.24.20/transaction,5,0,0
1595802703716,5,create new transaction,200,,Thread Group 1-8,text,true,,198,290,13,13,http://3.17.24.20/transaction,5,0,0
1595802703708,14,create new transaction,200,,Thread Group 1-11,text,true,,198,290,13,13,http://3.17.24.20/transaction,14,0,0
1595802703715,8,create new transaction,200,,Thread Group 1-2,text,true,,198,290,13,13,http://3.17.24.20/transaction,8,0,0
1595802703704,20,create new transaction,200,,Thread Group 1-6,text,true,,198,290,13,13,http://3.17.24.20/transaction,20,0,0
1595802703717,22,get balance,200,,Thread Group 1-3,text,true,,157,189,13,13,http://3.17.24.20/client/1/balance,22,0,0
1595802703718,28,get balance,200,,Thread Group 1-7,text,true,,157,189,13,13,http://3.17.24.20/client/1/balance,28,0,0
1595802703718,43,get balance,200,,Thread Group 1-4,text,true,,157,189,12,12,http://3.17.24.20/client/1/balance,43,0,0
1595802703719,48,get balance,200,,Thread Group 1-10,text,true,,157,189,11,11,http://3.17.24.20/client/1/balance,48,0,0
1595802703720,60,get balance,200,,Thread Group 1-1,text,true,,157,189,11,11,http://3.17.24.20/client/1/balance,60,0,0
1595802703720,65,get balance,200,,Thread Group 1-12,text,true,,157,189,10,10,http://3.17.24.20/client/1/balance,65,0,0
1595802703721,81,get balance,200,,Thread Group 1-9,text,true,,157,189,10,10,http://3.17.24.20/client/1/balance,80,0,0
1595802703722,87,get balance,200,,Thread Group 1-8,text,true,,157,189,9,9,http://3.17.24.20/client/1/balance,87,0,0
1595802703723,101,get balance,200,,Thread Group 1-11,text,true,,157,189,8,8,http://3.17.24.20/client/1/balance,101,0,0
1595802703724,101,get balance,200,,Thread Group 1-2,text,true,,157,189,7,7,http://3.17.24.20/client/1/balance,101,0,0
1595802703714,119,create new client,200,,Thread Group 1-13,text,true,,183,207,7,7,http://3.17.24.20/client/new/100,119,0,11
1595802703745,90,create new client,200,,Thread Group 1-14,text,true,,183,207,7,7,http://3.17.24.20/client/new/100,90,0,5
1595802703724,112,get balance,200,,Thread Group 1-6,text,true,,157,189,7,7,http://3.17.24.20/client/1/balance,112,0,0
1595802703801,36,create new client,200,,Thread Group 1-16,text,true,,183,207,6,6,http://3.17.24.20/client/new/100,36,0,1
1595802703773,66,create new client,200,,Thread Group 1-15,text,true,,183,207,6,6,http://3.17.24.20/client/new/100,66,0,3
1595802703831,11,create new client,200,,Thread Group 1-17,text,true,,183,207,6,6,http://3.17.24.20/client/new/100,11,0,1
1595802703834,9,create new transaction,200,,Thread Group 1-13,text,true,,198,290,6,6,http://3.17.24.20/transaction,9,0,0
1595802703838,6,create new transaction,200,,Thread Group 1-16,text,true,,198,290,6,6,http://3.17.24.20/transaction,6,0,0
1595802703836,9,create new transaction,200,,Thread Group 1-14,text,true,,198,290,6,6,http://3.17.24.20/transaction,9,0,0
1595802703840,6,create new transaction,200,,Thread Group 1-15,text,true,,198,290,6,6,http://3.17.24.20/transaction,6,0,0
1595802703842,5,create new transaction,200,,Thread Group 1-17,text,true,,198,290,6,6,http://3.17.24.20/transaction,5,0,0
1595802703725,123,get balance,200,,Thread Group 1-5,text,true,,157,189,6,6,http://3.17.24.20/client/1/balance,123,0,0
1595802703843,23,get balance,200,,Thread Group 1-13,text,true,,157,189,6,6,http://3.17.24.20/client/1/balance,23,0,0
1595802703844,29,get balance,200,,Thread Group 1-16,text,true,,157,189,5,5,http://3.17.24.20/client/1/balance,29,0,0
1595802703846,43,get balance,200,,Thread Group 1-14,text,true,,157,189,4,4,http://3.17.24.20/client/1/balance,43,0,0
1595802703846,44,get balance,200,,Thread Group 1-15,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,43,0,0
1595802703861,36,create new client,200,,Thread Group 1-18,text,true,,183,207,3,3,http://3.17.24.20/client/new/100,36,0,1
1595802703890,9,create new client,200,,Thread Group 1-19,text,true,,183,207,3,3,http://3.17.24.20/client/new/100,9,0,1
1595802703848,52,get balance,200,,Thread Group 1-17,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,52,0,0
1595802703899,2,create new transaction,200,,Thread Group 1-19,text,true,,198,290,2,2,http://3.17.24.20/transaction,2,0,0
1595802703897,4,create new transaction,200,,Thread Group 1-18,text,true,,198,290,2,2,http://3.17.24.20/transaction,4,0,0
1595802703902,22,get balance,200,,Thread Group 1-18,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,22,0,0
1595802703902,22,get balance,200,,Thread Group 1-19,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,22,0,0
1595802703922,7,create new client,200,,Thread Group 1-20,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,7,0,3
1595802703929,46,create new transaction,200,,Thread Group 1-20,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802703983,6,create new client,200,,Thread Group 1-22,text,true,,183,207,3,3,http://3.17.24.20/client/new/100,5,0,1
1595802703976,13,get balance,200,,Thread Group 1-20,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,13,0,0
1595802703987,5,create new client,200,,Thread Group 1-21,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,5,0,1
1595802703992,2,create new transaction,200,,Thread Group 1-21,text,true,,198,290,2,2,http://3.17.24.20/transaction,2,0,0
1595802703989,6,create new transaction,200,,Thread Group 1-22,text,true,,198,290,2,2,http://3.17.24.20/transaction,6,0,0
1595802703995,16,get balance,200,,Thread Group 1-22,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,16,0,0
1595802704013,5,create new client,200,,Thread Group 1-23,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,5,0,1
1595802703995,23,get balance,200,,Thread Group 1-21,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,23,0,0
1595802704018,2,create new transaction,200,,Thread Group 1-23,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704021,12,get balance,200,,Thread Group 1-23,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704041,4,create new client,200,,Thread Group 1-24,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802704046,2,create new transaction,200,,Thread Group 1-24,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704048,12,get balance,200,,Thread Group 1-24,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704072,4,create new client,200,,Thread Group 1-25,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802704077,2,create new transaction,200,,Thread Group 1-25,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704080,12,get balance,200,,Thread Group 1-25,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704100,5,create new client,200,,Thread Group 1-26,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,2
1595802704105,3,create new transaction,200,,Thread Group 1-26,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802704108,12,get balance,200,,Thread Group 1-26,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704130,4,create new client,200,,Thread Group 1-27,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802704135,2,create new transaction,200,,Thread Group 1-27,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704137,12,get balance,200,,Thread Group 1-27,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704176,4,create new client,200,,Thread Group 1-28,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802704181,2,create new transaction,200,,Thread Group 1-28,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704190,4,create new client,200,,Thread Group 1-29,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,4,0,1
1595802704183,12,get balance,200,,Thread Group 1-28,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,12,0,0
1595802704195,2,create new transaction,200,,Thread Group 1-29,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704198,12,get balance,200,,Thread Group 1-29,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704220,5,create new client,200,,Thread Group 1-30,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802704225,2,create new transaction,200,,Thread Group 1-30,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704228,12,get balance,200,,Thread Group 1-30,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704251,4,create new client,200,,Thread Group 1-31,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802704256,2,create new transaction,200,,Thread Group 1-31,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704258,12,get balance,200,,Thread Group 1-31,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704280,6,create new client,200,,Thread Group 1-32,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,3
1595802704287,2,create new transaction,200,,Thread Group 1-32,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704379,5,create new client,200,,Thread Group 1-34,text,true,,183,207,3,3,http://3.17.24.20/client/new/100,5,0,2
1595802704376,9,create new client,200,,Thread Group 1-35,text,true,,183,207,3,3,http://3.17.24.20/client/new/100,8,0,2
1595802704384,3,create new transaction,200,,Thread Group 1-34,text,true,,198,290,3,3,http://3.17.24.20/transaction,3,0,0
1595802704385,3,create new transaction,200,,Thread Group 1-35,text,true,,198,290,3,3,http://3.17.24.20/transaction,3,0,0
1595802704387,21,get balance,200,,Thread Group 1-34,text,true,,157,189,4,4,http://3.17.24.20/client/1/balance,21,0,0
1595802704388,22,get balance,200,,Thread Group 1-35,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,22,0,0
1595802704400,11,create new client,200,,Thread Group 1-36,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,11,0,1
1595802704412,2,create new transaction,200,,Thread Group 1-36,text,true,,198,290,2,2,http://3.17.24.20/transaction,2,0,0
1595802704414,12,get balance,200,,Thread Group 1-36,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,12,0,0
1595802704289,140,get balance,200,,Thread Group 1-32,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,140,0,0
1595802704428,7,create new client,200,,Thread Group 1-33,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,7,0,4
1595802704431,5,create new client,200,,Thread Group 1-37,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,5,0,1
1595802704436,2,create new transaction,200,,Thread Group 1-33,text,true,,198,290,2,2,http://3.17.24.20/transaction,2,0,0
1595802704436,5,create new transaction,200,,Thread Group 1-37,text,true,,198,290,2,2,http://3.17.24.20/transaction,5,0,0
1595802704438,19,get balance,200,,Thread Group 1-33,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,19,0,0
1595802704441,20,get balance,200,,Thread Group 1-37,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,20,0,0
1595802704460,6,create new client,200,,Thread Group 1-38,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,2
1595802704466,2,create new transaction,200,,Thread Group 1-38,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704469,12,get balance,200,,Thread Group 1-38,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704490,5,create new client,200,,Thread Group 1-39,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802704495,2,create new transaction,200,,Thread Group 1-39,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704498,12,get balance,200,,Thread Group 1-39,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802704522,4,create new client,200,,Thread Group 1-40,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802704527,2,create new transaction,200,,Thread Group 1-40,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802704529,13,get balance,200,,Thread Group 1-40,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,13,0,0
1595802704551,5,create new client,200,,Thread Group 1-41,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,2
1595802704556,3,create new transaction,200,,Thread Group 1-41,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
